Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	D:\QC_DIA\57391.raw
A0A0B4J2D5;P0DPI2	GAL3A_HUMAN;GAL3B_HUMAN	GATD3A;GATD3B	Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial	8	0	969333
A0A0B4J2F0	PIOS1_HUMAN	PIGBOS1	Protein PIGBOS1	1	1	321454
A0A0U1RRE5	NBDY_HUMAN	NBDY	Negative regulator of P-body association	1	1	21811.1
A0A0U1RRL7	MMPOS_HUMAN	MMP24OS	Protein MMP24OS	1	1	4779.34
A0AV96	RBM47_HUMAN	RBM47	RNA-binding protein 47	4	4	80971.4
A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6	19	19	4.93463e+06
A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2	12	12	1.51846e+06
A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1	12	12	3.84363e+06
A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223	3	3	425917
A1A9Q9;P0A8G6	NQOR_ECOK1;NQOR_ECOLI	Ecok1_09050;wrbA	NAD(P)H dehydrogenase (quinone)	3	0	69961.8
A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2	6	6	292599
A2RRP1	NBAS_HUMAN	NBAS	Neuroblastoma-amplified sequence	3	3	317911
A2RUR9	C144A_HUMAN	CCDC144A	Coiled-coil domain-containing protein 144A	1	1	206161
A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	11	11	67900
A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	3	2	132366
A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10	4	4	798454
A5A6H5;P25705;Q5R546	ATPA_HUMAN;ATPA_PANTR;ATPA_PONAB	ATP5F1A	ATP synthase subunit alpha, mitochondrial	11	1	8.62336e+07
A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C	1	1	53641.2
A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	27	27	1.08552e+06
A5Z2X5	YP010_YEAST	YPR010C-A	UPF0495 protein YPR010C-A	1	1	404152
A6NCE7;Q9GZQ8	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2	1	0	1.02547e+06
A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	7	7	958565
A6NDU8	CE051_HUMAN	C5orf51	UPF0600 protein C5orf51	2	2	25918.5
A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	1	1	2.17971e+06
A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	22	22	2.56736e+06
A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	2	1	1.26715e+06
A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase	2	2	37324.4
A6NNY8;Q9UPT9	UBP22_HUMAN;UBP27_HUMAN	USP22;USP27X	Ubiquitin carboxyl-terminal hydrolase 27	1	0	11918.7
A7MP70;A7ZPS4;A8A2X1;B1IWI1;B1LNC8;B2TXQ4;B5Z015;B6I548;B7LCL6;B7LKG3;B7M7I1;B7MYB7;B7NQL6;P0A6L2;P0A6L3;P63943;P63944;Q0T239;Q31Y13;Q32D87;Q3YZ74	DAPA_CROS8;DAPA_ECO24;DAPA_ECO55;DAPA_ECO57;DAPA_ECO5E;DAPA_ECO7I;DAPA_ECO81;DAPA_ECO8A;DAPA_ECOHS;DAPA_ECOL6;DAPA_ECOLC;DAPA_ECOLI;DAPA_ECOSE;DAPA_ECOSM;DAPA_ESCF3;DAPA_SHIB3;DAPA_SHIBS;DAPA_SHIDS;DAPA_SHIF8;DAPA_SHIFL;DAPA_SHISS	dapA	4-hydroxy-tetrahydrodipicolinate synthase	1	1	222783
A8CG34	P121C_HUMAN	POM121C	Nuclear envelope pore membrane protein POM 121C	9	1	1.28826e+06
A8MPP1;Q96FC9	D11L8_HUMAN;DDX11_HUMAN	DDX11;DDX11L8	Putative ATP-dependent RNA helicase DDX11-like protein 8	1	0	195366
A8MQ03	CRTP1_HUMAN	CYSRT1	Cysteine-rich tail protein 1	1	1	10411.7
A8MWD9;P62308	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	1	0	4.06137e+06
A8MXV4	NUD19_HUMAN	NUDT19	Nucleoside diphosphate-linked moiety X motif 19	3	3	294679
